Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
1983,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,25
1984,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,32
1985,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,30
1986,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,38
1987,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,25
1988,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,27
1989,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,25
1990,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,29
1991,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,29
1992,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,27
1993,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,28
1994,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,24
1995,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,30
1996,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,18
1997,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,14
1998,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,18
1999,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,13
2000,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,14
2001,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,10
2002,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,6
2003,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,11
2004,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,11
2005,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,12
2006,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,13
2007,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,9
2008,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,10
2009,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,6
2010,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,8
2011,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,F
1976,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,F
1977,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,8
1978,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,F
1979,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,9
1980,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,F
1981,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,16
1982,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,9
1983,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,F
1984,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,13
1985,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,14
1986,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,17
1987,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,12
1988,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,14
1989,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,17
1990,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,14
1991,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,17
1992,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,22
1993,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,23
1994,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,21
1995,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,20
1996,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,25
1997,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,18
1998,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,9
1999,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,13
2000,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,16
2001,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,13
2002,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,12
2003,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,15
2004,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,10
2005,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,13
2006,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,15
2007,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,11
2008,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,7
2009,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,13
2010,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,7
2011,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,F
1976,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,43
1977,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,36
1978,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,36
1979,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,37
1980,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,38
1981,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,33
1982,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,32
1983,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,37
1984,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,31
1985,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,34
1986,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,34
1987,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,32
1988,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,28
1989,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,30
1990,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,29
1991,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,37
1992,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,36
1993,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,36
1994,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,34
1995,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,33
1996,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,36
1997,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,34
1998,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,42
1999,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,37
2000,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,35
2001,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,35
2002,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,34
2003,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,33
2004,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,37
2005,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,37
2006,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,36
2007,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,32
2008,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,30
2009,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,27
2010,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,28
2011,Saskatchewan,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,23
1976,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,14.0
1977,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,13.3
1978,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,10.6
1979,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,13.3
1980,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,10.1
1981,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,12.2
1982,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,11.0
1983,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,12.0
1984,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,13.8
1985,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,13.3
1986,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,15.3
1987,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,11.6
1988,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,12.0
1989,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,11.8
1990,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,13.2
1991,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,14.4
1992,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,14.3
1993,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,14.8
1994,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,13.7
1995,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,14.2
1996,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,13.0
1997,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,11.1
1998,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,11.1
1999,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,10.2
2000,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,10.9
2001,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,9.7
2002,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,8.6
2003,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,9.8
2004,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,10.1
2005,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,10.8
2006,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,10.7
2007,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,8.0
2008,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,7.3
2009,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,7.1
2010,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,6.4
2011,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,All persons,5.3
1976,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,12.5
1977,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,12.7
1978,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,10.2
1979,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,13.9
1980,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,8.5
1981,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,14.4
1982,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,11.9
1983,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,13.3
1984,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,17.2
1985,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,16.2
1986,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,19.8
1987,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,13.6
1988,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,15.7
1989,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,15.9
1990,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,17.2
1991,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,17.9
1992,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,19.4
1993,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,19.9
1994,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,18.6
1995,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,19.9
1996,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,17.8
1997,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,13.8
1998,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,11.2
1999,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,11.5
2000,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,13.2
2001,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,11.0
2002,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,9.0
2003,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,13.2
2004,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,11.1
2005,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,13.1
2006,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,14.8
2007,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,10.6
2008,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,9.1
2009,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,9.8
2010,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,7.9
2011,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years,6.2
1976,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.7
1977,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,10.7
1978,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,7.9
1979,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,10.7
1980,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,8.5
1981,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,9.7
1982,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,9.9
1983,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,10.3
1984,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,12.6
1985,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,12.8
1986,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,14.1
1987,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.5
1988,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.3
1989,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.3
1990,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,13.6
1991,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,15.3
1992,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,14.5
1993,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,14.9
1994,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,13.8
1995,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,14.0
1996,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,13.0
1997,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.6
1998,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,12.7
1999,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.3
2000,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,12.0
2001,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,10.7
2002,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,9.8
2003,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,10.4
2004,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.6
2005,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.6
2006,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,11.2
2007,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,8.4
2008,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,7.8
2009,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,7.5
2010,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,7.2
2011,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 18 to 64 years,5.8
1976,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,30.2
1977,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,28.8
1978,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,26.0
1979,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,25.1
1980,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,22.6
1981,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,18.9
1982,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,13.9
1983,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,17.7
1984,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,11.4
1985,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,8.4
1986,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,10.6
1987,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,7.0
1988,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,7.0
1989,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,4.9
1990,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.9
1991,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,3.7
1992,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.8
1993,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,4.3
1994,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,3.4
1995,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,3.9
1996,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,4.1
1997,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,3.9
1998,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,3.7
1999,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.8
2000,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.5
2001,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.8
2002,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,3.0
2003,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,1.8
2004,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.0
2005,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,3.3
2006,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.3
2007,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.7
2008,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,2.3
2009,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,1.2
2010,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,0.8
2011,Saskatchewan,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons 65 years and over,1.3
